Site,Site2,Month,Order2,PlantSpecies,Blooms,Date,Count,countabun,abuncount1,logabuncount1,Color,Range,Blooms2,Count2
Boyd,Site 2,JulyAugust,15,Butterfly milkweed,1,7/2/2020,3,3,4,0.602059991,Orange,Native,1,3
Boyd,Site 2,JulyAugust,15,Butterfly milkweed,1,7/22/2020,0,0,1,0,Orange,Native,1,0
Boyd,Site 2,JulyAugust,15,Butterfly milkweed,1,8/2/2020,0,0,1,0,Orange,Native,1,0
Jesse,Site 3,JulyAugust,15,Butterfly milkweed,13,7/6/2020,14,1.076923077,2.076923077,0.317420412,Orange,Native,13,14
Jesse,Site 3,JulyAugust,15,Butterfly milkweed,13,7/17/2020,5,0.384615385,1.384615385,0.141329153,Orange,Native,13,5
Jesse,Site 3,JulyAugust,15,Butterfly milkweed,13,7/28/2020,3,0.230769231,1.230769231,0.09017663,Orange,Native,13,3
Jesse,Site 3,JulyAugust,15,Butterfly milkweed,13,8/7/2020,18,1.384615385,2.384615385,0.377418342,Orange,Native,13,18
Jesse,Site 3,JulyAugust,15,Butterfly milkweed,13,8/14/2020,32,2.461538462,3.461538462,0.539269161,Orange,Native,13,32
Jesse,Site 3,JulyAugust,15,Butterfly milkweed,13,8/29/2020,0,0,1,0,Orange,Native,13,0
Uthe,Site 4,JulyAugust,15,Butterfly milkweed,1,7/2/2020,1,1,2,0.301029996,Orange,Native,1,1
Uthe,Site 4,JulyAugust,15,Butterfly milkweed,1,7/12/2020,0,0,1,0,Orange,Native,1,0
Uthe,Site 4,JulyAugust,15,Butterfly milkweed,1,7/22/2020,0,0,1,0,Orange,Native,1,0
Uthe,Site 4,JulyAugust,15,Butterfly milkweed,1,8/2/2020,0,0,1,0,Orange,Native,1,0
Uthe,Site 4,JulyAugust,15,Butterfly milkweed,1,8/22/2020,0,0,1,0,Orange,Native,1,0
Uthe,Site 4,JulyAugust,15,Butterfly milkweed,1,8/29/2020,0,0,1,0,Orange,Native,1,0
GM,Site 5,July,15,Butterfly milkweed,0.142857143,7/2/2019,0,0,1,0,Orange,Native,0.142857143,0
GM,Site 5,July,15,Butterfly milkweed,0.142857143,7/17/2019,0,0,1,0,Orange,Native,0.142857143,0
GM,Site 5,July,15,Butterfly milkweed,0.142857143,7/18/2019,0,0,1,0,Orange,Native,0.142857143,0
GM,Site 5,July,15,Butterfly milkweed,0.142857143,7/20/2019,0,0,1,0,Orange,Native,0.142857143,0
GM,Site 5,July,15,Butterfly milkweed,0.142857143,7/24/2019,0,0,1,0,Orange,Native,0.142857143,0
