Site,Site2,Month,Date,Color,Blooms,Count,colorabun,colorabun1,logcolorabun1
AD,Site 6,July,6/24/2020,Orange,1,1,1,2,0.301029996
AD,Site 6,July,6/24/2020,Pink,14,0,0,1,0
AD,Site 6,July,6/24/2020,Purple,143,0,0,1,0
AD,Site 6,July,6/24/2020,White,85301,2,2.34E-05,1.000023446,1.02E-05
AD,Site 6,July,6/24/2020,Yellow,2477,0,0,1,0
AD,Site 6,July,6/29/2020,Orange,1,0,0,1,0
AD,Site 6,July,6/29/2020,Pink,14,0,0,1,0
AD,Site 6,July,6/29/2020,Purple,143,0,0,1,0
AD,Site 6,July,6/29/2020,White,85301,0,0,1,0
AD,Site 6,July,6/29/2020,Yellow,2477,17,0.006863141,1.006863141,0.002970443
AD,Site 6,July,6/30/2020,Orange,1,3,3,4,0.602059991
AD,Site 6,July,6/30/2020,Pink,14,0,0,1,0
AD,Site 6,July,6/30/2020,Purple,143,1,0.006993007,1.006993007,0.003026455
AD,Site 6,July,6/30/2020,White,85301,1,1.17E-05,1.000011723,5.09E-06
AD,Site 6,July,6/30/2020,Yellow,2477,2,0.000807428,1.000807428,0.00035052
AD,Site 6,July,7/13/2020,Orange,1,1,1,2,0.301029996
AD,Site 6,July,7/13/2020,Pink,14,0,0,1,0
AD,Site 6,July,7/13/2020,Purple,143,1,0.006993007,1.006993007,0.003026455
AD,Site 6,July,7/13/2020,White,85301,0,0,1,0
AD,Site 6,July,7/13/2020,Yellow,2477,0,0,1,0
AD,Site 6,July,7/16/2020,Orange,1,2,2,3,0.477121255
AD,Site 6,July,7/16/2020,Pink,14,2,0.142857143,1.142857143,0.057991947
AD,Site 6,July,7/16/2020,Purple,143,10,0.06993007,1.06993007,0.029355393
AD,Site 6,July,7/16/2020,White,85301,0,0,1,0
AD,Site 6,July,7/16/2020,Yellow,2477,0,0,1,0
AD,Site 6,July,7/19/2020,Orange,1,1,1,2,0.301029996
AD,Site 6,July,7/19/2020,Pink,14,0,0,1,0
AD,Site 6,July,7/19/2020,Purple,143,8,0.055944056,1.055944056,0.02364091
AD,Site 6,July,7/19/2020,White,85301,0,0,1,0
AD,Site 6,July,7/19/2020,Yellow,2477,0,0,1,0
AD,Site 6,July,7/24/2020,Orange,1,0,0,1,0
AD,Site 6,July,7/24/2020,Pink,14,0,0,1,0
AD,Site 6,July,7/24/2020,Purple,143,1,0.006993007,1.006993007,0.003026455
AD,Site 6,July,7/24/2020,White,85301,0,0,1,0
AD,Site 6,July,7/24/2020,Yellow,2477,0,0,1,0
AD,Site 6,July,7/27/2020,Orange,1,0,0,1,0
AD,Site 6,July,7/27/2020,Pink,14,0,0,1,0
AD,Site 6,July,7/27/2020,Purple,143,0,0,1,0
AD,Site 6,July,7/27/2020,White,85301,1,1.17E-05,1.000011723,5.09E-06
AD,Site 6,July,7/27/2020,Yellow,2477,0,0,1,0
AD,Site 6,July,7/29/2020,Orange,1,1,1,2,0.301029996
AD,Site 6,July,7/29/2020,Pink,14,0,0,1,0
AD,Site 6,July,7/29/2020,Purple,143,4,0.027972028,1.027972028,0.011981297
AD,Site 6,July,7/29/2020,White,85301,0,0,1,0
AD,Site 6,July,7/29/2020,Yellow,2477,1,0.000403714,1.000403714,0.000175295
AD,Site 6,July,8/1/2020,Orange,1,0,0,1,0
AD,Site 6,July,8/1/2020,Pink,14,5,0.357142857,1.357142857,0.132625565
AD,Site 6,July,8/1/2020,Purple,143,0,0,1,0
AD,Site 6,July,8/1/2020,White,85301,0,0,1,0
AD,Site 6,July,8/1/2020,Yellow,2477,0,0,1,0
AD,Site 6,July,8/4/2020,Orange,1,0,0,1,0
AD,Site 6,July,8/4/2020,Pink,14,0,0,1,0
AD,Site 6,July,8/4/2020,Purple,143,1,0.006993007,1.006993007,0.003026455
AD,Site 6,July,8/4/2020,White,85301,0,0,1,0
AD,Site 6,July,8/4/2020,Yellow,2477,0,0,1,0
Barb,Site 1,JulyAugust,7/6/2020,Pink,3.5,22,6.285714286,7.285714286,0.862472136
Barb,Site 1,JulyAugust,7/6/2020,Purple,44,2,0.045454545,1.045454545,0.019305155
Barb,Site 1,JulyAugust,7/6/2020,White,20,0,0,1,0
Barb,Site 1,JulyAugust,7/6/2020,Yellow,1464.5,0,0,1,0
Barb,Site 1,JulyAugust,7/17/2020,Pink,3.5,1,0.285714286,1.285714286,0.109144469
Barb,Site 1,JulyAugust,7/17/2020,Purple,44,24,0.545454545,1.545454545,0.189056236
Barb,Site 1,JulyAugust,7/17/2020,White,20,1,0.05,1.05,0.021189299
Barb,Site 1,JulyAugust,7/17/2020,Yellow,1464.5,6,0.004096961,1.004096961,0.001775653
Barb,Site 1,JulyAugust,7/28/2020,Pink,3.5,0,0,1,0
Barb,Site 1,JulyAugust,7/28/2020,Purple,44,18,0.409090909,1.409090909,0.148939013
Barb,Site 1,JulyAugust,7/28/2020,White,20,0,0,1,0
Barb,Site 1,JulyAugust,7/28/2020,Yellow,1464.5,3,0.002048481,1.002048481,0.000888734
Boyd,Site 2,JulyAugust,7/2/2020,Orange,1,3,3,4,0.602059991
Boyd,Site 2,JulyAugust,7/2/2020,Pink,1,1,1,2,0.301029996
Boyd,Site 2,JulyAugust,7/2/2020,Purple,2380,9,0.003781513,1.003781513,0.001639193
Boyd,Site 2,JulyAugust,7/2/2020,White,8.5,0,0,1,0
Boyd,Site 2,JulyAugust,7/2/2020,Yellow,2810,7,0.002491103,1.002491103,0.001080527
Boyd,Site 2,JulyAugust,7/22/2020,Orange,1,0,0,1,0
Boyd,Site 2,JulyAugust,7/22/2020,Pink,1,0,0,1,0
