Site,Site2,Month,Date,Range,Blooms,Count,countabun,abuncount1,lograngeabun1
Barb,Site 1,September,9/26/2020,Native,269,0,0,1,0
Barb,Site 1,September,9/26/2020,Non-Native,0,0,0,1,0
Barb,Site 1,September,9/13/2020,Native,269,0,0,1,0
Barb,Site 1,September,9/13/2020,Non-Native,0,0,0,1,0
Boyd,Site 2,September,9/5/2020,Native,3266,131,0.040110227,1.040110227,0.017079366
Boyd,Site 2,September,9/5/2020,Non-Native,129,1,0.007751938,1.007751938,0.003353642
Boyd,Site 2,September,9/19/2020,Native,3266,5,0.001530925,1.001530925,0.000664364
Boyd,Site 2,September,9/19/2020,Non-Native,129,0,0,1,0
Jesse,Site 3,September,9/13/2020,Native,1630,3,0.001840491,1.001840491,0.00079858
Jesse,Site 3,September,9/13/2020,Non-Native,55,41,0.745454545,1.745454545,0.241908544
Jesse,Site 3,September,9/26/2020,Native,1630,126,0.077300613,1.077300613,0.032336907
Jesse,Site 3,September,9/26/2020,Non-Native,55,1,0.018181818,1.018181818,0.007825338
Uthe,Site 4,September,9/5/2020,Native,1668,2,0.001199041,1.001199041,0.000520425
Uthe,Site 4,September,9/5/2020,Non-Native,5,0,0,1,0
Uthe,Site 4,September,9/19/2020,Native,1668,0,0,1,0
Uthe,Site 4,September,9/19/2020,Non-Native,5,0,0,1,0
