Site,Site2,Month,Order2,PlantSpecies,BloomsInTransect,Blooms,plus1,LogBloom,Count,sum,sig
Barb,Site 1,JulyAugust,6,Alfalfa,0,0,1,0,0,,
Barb,Site 1,JulyAugust,28,Black eyed susan,0,0,1,0,0,,
Barb,Site 1,JulyAugust,29,Brown eyed susan,0,0,1,0,0,,
Barb,Site 1,JulyAugust,19,Bull thistle,0,0,1,0,0,,
Barb,Site 1,JulyAugust,15,Butterfly milkweed,0,0,1,0,0,,
Barb,Site 1,JulyAugust,42,Canada lettuce,0,0,1,0,0,,
Barb,Site 1,JulyAugust,16,Canada thistle,0,0,1,0,0,,
Barb,Site 1,JulyAugust,8,Carolina horse nettle,0,0,1,0,0,,
Barb,Site 1,JulyAugust,43,Chicory,0,0,1,0,0,,
Barb,Site 1,JulyAugust,25,Common evening primrose,0,0,1,0,0,,
Barb,Site 1,JulyAugust,17,Common milkweed,1,1,2,0.301029996,21,,
Barb,Site 1,JulyAugust,30,Common selfheal,0,0,1,0,0,,
Barb,Site 1,JulyAugust,45,Common sneezeweed,0,0,1,0,0,,
Barb,Site 1,JulyAugust,5,Crown vetch,5,2.5,3.5,0.544068044,0,,
Barb,Site 1,JulyAugust,34,Cup plant,0,0,1,0,0,,
Barb,Site 1,JulyAugust,11,Dandelion,0,0,1,0,0,,
Barb,Site 1,JulyAugust,20,Deptford pink,0,0,1,0,0,,
Barb,Site 1,JulyAugust,7,Eastern daisy fleabane,0,0,1,0,0,,
Barb,Site 1,JulyAugust,13,Foxglove beardtounge,0,0,1,0,0,,
Barb,Site 1,JulyAugust,46,Frost aster,0,0,1,0,0,,
Barb,Site 1,JulyAugust,3,Golden alexander,0,0,1,0,0,,
Barb,Site 1,JulyAugust,47,Goldenrod,5,2.5,3.5,0.544068044,0,,
Barb,Site 1,JulyAugust,35,Greyheaded coneflower,463,231.5,232.5,2.366422957,9,,
Barb,Site 1,JulyAugust,12,Hairy ruellia,0,0,1,0,0,,
Barb,Site 1,JulyAugust,21,Hoary vervain,0,0,1,0,0,,
Barb,Site 1,JulyAugust,36,Ironweed,0,0,1,0,0,,
Barb,Site 1,JulyAugust,43,Jersulem artichoke,0,0,1,0,0,,
Barb,Site 1,JulyAugust,22,Morning glory,0,0,1,0,0,,
Barb,Site 1,JulyAugust,32,Mountain mint,0,0,1,0,0,,
Barb,Site 1,JulyAugust,48,New england aster,0,0,1,0,0,,
Barb,Site 1,JulyAugust,23,Oxeye sunflower,0,0,1,0,0,,
Barb,Site 1,JulyAugust,14,Pale purple coneflower,1,1,2,0.301029996,28,,
Barb,Site 1,JulyAugust,37,Partridge pea,2461,1230.5,1231.5,3.090434416,0,,
Barb,Site 1,JulyAugust,38,Purple prairie clover,0,0,1,0,0,,
Barb,Site 1,JulyAugust,18,Queen anne's lace,0,0,1,0,0,,
Barb,Site 1,JulyAugust,39,Rattlesnake master,12,6,7,0.84509804,0,,
Barb,Site 1,JulyAugust,1,Red clover,0,0,1,0,0,,
Barb,Site 1,JulyAugust,49,Sawtooth sunflower,0,0,1,0,0,,
Barb,Site 1,JulyAugust,31,Showy ticktrefoil,0,0,1,0,0,,
Barb,Site 1,JulyAugust,26,St. john's wort,0,0,1,0,0,,
Barb,Site 1,JulyAugust,33,Swamp milkweed,0,0,1,0,0,,
Barb,Site 1,JulyAugust,27,Swamp smartweed,0,0,1,0,0,,
Barb,Site 1,JulyAugust,50,Tall boneset,0,0,1,0,0,,
Barb,Site 1,JulyAugust,2,White clover,5,2.5,3.5,0.544068044,0,,
Barb,Site 1,JulyAugust,44,White heath aster,0,0,1,0,0,,
Barb,Site 1,JulyAugust,10,White sweet clover,0,0,1,0,0,,
Barb,Site 1,JulyAugust,40,White vervain,23,11.5,12.5,1.096910013,1,,
Barb,Site 1,JulyAugust,20,Whorled milkweed,0,0,1,0,0,,
Barb,Site 1,JulyAugust,41,Wild bergamot,86,43,44,1.643452676,16,,
Barb,Site 1,JulyAugust,4,Wild parsnip,0,0,1,0,0,,
Barb,Site 1,JulyAugust,24,Yarrow,0,0,1,0,0,,
Barb,Site 1,JulyAugust,9,Yellow sweet clover,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,6,Alfalfa,58,29,30,1.477121255,0,,
Boyd,Site 2,JulyAugust,28,Black eyed susan,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,29,Brown eyed susan,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,19,Bull thistle,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,15,Butterfly milkweed,1,1,2,0.301029996,3,,
Boyd,Site 2,JulyAugust,42,Canada lettuce,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,16,Canada thistle,85,42.5,43.5,1.638489257,1,,
Boyd,Site 2,JulyAugust,8,Carolina horse nettle,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,43,Chicory,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,25,Common evening primrose,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,17,Common milkweed,1,1,2,0.301029996,1,,
Boyd,Site 2,JulyAugust,30,Common selfheal,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,45,Common sneezeweed,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,5,Crown vetch,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,34,Cup plant,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,11,Dandelion,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,20,Deptford pink,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,7,Eastern daisy fleabane,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,13,Foxglove beardtounge,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,46,Frost aster,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,3,Golden alexander,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,47,Goldenrod,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,35,Greyheaded coneflower,2635,1317.5,1318.5,3.120080134,1,,
Boyd,Site 2,JulyAugust,12,Hairy ruellia,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,21,Hoary vervain,2,1,2,0.301029996,0,,
Boyd,Site 2,JulyAugust,36,Ironweed,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,43,Jersulem artichoke,0,0,1,0,0,,
Boyd,Site 2,JulyAugust,22,Morning glory,17,8.5,9.5,0.977723605,0,,
