Site Number,Month,Plant Species,Blooms,plus1,LogBloom
1,June,Alfalfa,0,1,0
1,June,Black eyed susan,0,1,0
1,June,Brown eyed susan,2,3,0.477121255
1,June,Bull thistle,0,1,0
1,June,Butterfly milkweed,0,1,0
1,June,Canada lettuce,0,0,0
1,June,Canada thistle,0,1,0
1,June,Carolina horse nettle,0,1,0
1,June,Common evening primrose,0,0,0
1,June,Common milkweed,1,2,0.301029996
1,June,Common selfheal,0,1,0
1,June,Common sneezeweed,0,1,0
1,June,Crown vetch,33,34,1.531478917
1,June,Cup plant,0,1,0
1,June,Dandelion,1,2,0.301029996
1,June,Deptford pink,0,1,0
1,June,Eastern daisy fleabane,0,1,0
1,June,Foxglove beardtounge,0,1,0
1,June,Frost aster,0,1,0
1,June,Golden alexander,0,1,0
1,June,Goldenrod,0,1,0
1,June,Greyheaded coneflower,0,1,0
1,June,Hairy ruellia,0,1,0
1,June,Hoary vervain,0,1,0
1,June,Ironweed,0,1,0
1,June,Jersulem artichoke,0,1,0
1,June,Morning glory,0,1,0
1,June,Mountain mint,0,0,0
1,June,New england aster,0,1,0
1,June,Oxeye sunflower,0,1,0
1,June,Pale purple coneflower,6,7,0.84509804
1,June,Partridge pea,0,1,0
1,June,Purple prairie clover,0,1,0
1,June,Queen anne's lace,0,0,0
1,June,Rattlesnake master,0,1,0
1,June,Red clover,0,1,0
1,June,Sawtooth sunflower,0,1,0
1,June,Showy ticktrefoil,0,1,0
1,June,St. john's wort,0,0,0
1,June,Swamp milkweed,0,0,0
1,June,Swamp smartweed,0,1,0
1,June,Tall boneset,0,1,0
1,June,White clover,4,5,0.698970004
1,June,White heath aster,0,1,0
1,June,White sweet clover,0,1,0
1,June,White vervain,0,1,0
1,June,Wild bergamot,0,1,0
1,June,Wild parsnip,0,1,0
1,June,Yarrow,0,1,0
1,June,Yellow sweet clover,0,0,0
2,June,Alfalfa,170,171,2.23299611
2,June,Black eyed susan,0,1,0
2,June,Brown eyed susan,0,1,0
2,June,Bull thistle,0,1,0
2,June,Butterfly milkweed,0,1,0
2,June,Canada lettuce,0,0,0
2,June,Canada thistle,8,9,0.954242509
2,June,Carolina horse nettle,0,1,0
2,June,Common evening primrose,0,0,0
2,June,Common milkweed,0,1,0
2,June,Common selfheal,0,1,0
2,June,Common sneezeweed,0,1,0
2,June,Crown vetch,0,1,0
2,June,Cup plant,0,1,0
2,June,Dandelion,0,1,0
2,June,Deptford pink,0,1,0
2,June,Eastern daisy fleabane,0,1,0
2,June,Foxglove beardtounge,320,321,2.506505032
2,June,Frost aster,0,1,0
2,June,Golden alexander,20,21,1.322219295
2,June,Goldenrod,0,1,0
2,June,Greyheaded coneflower,0,1,0
2,June,Hairy ruellia,0,1,0
2,June,Hoary vervain,0,1,0
2,June,Ironweed,0,1,0
2,June,Jersulem artichoke,0,1,0
2,June,Morning glory,0,1,0
2,June,Mountain mint,0,0,0
2,June,New england aster,0,1,0
2,June,Oxeye sunflower,0,1,0
2,June,Pale purple coneflower,0,1,0
2,June,Partridge pea,0,1,0
2,June,Purple prairie clover,0,1,0
2,June,Queen anne's lace,0,0,0
2,June,Rattlesnake master,0,1,0
2,June,Red clover,124,125,2.096910013
2,June,Sawtooth sunflower,0,1,0
2,June,Showy ticktrefoil,0,1,0
2,June,St. john's wort,0,0,0
2,June,Swamp milkweed,0,0,0
2,June,Swamp smartweed,0,1,0
2,June,Tall boneset,0,1,0
2,June,White clover,7,8,0.903089987
2,June,White heath aster,0,1,0
2,June,White sweet clover,0,1,0
2,June,White vervain,0,1,0
2,June,Wild bergamot,0,1,0
2,June,Wild parsnip,0,1,0
2,June,Yarrow,0,1,0
2,June,Yellow sweet clover,0,0,0
3,June,Alfalfa,0,1,0
3,June,Black eyed susan,0,1,0
3,June,Brown eyed susan,0,1,0
3,June,Bull thistle,0,1,0
3,June,Butterfly milkweed,1,2,0.301029996
3,June,Canada lettuce,0,0,0
3,June,Canada thistle,0,1,0
3,June,Carolina horse nettle,0,1,0
3,June,Common evening primrose,0,0,0
3,June,Common milkweed,1,2,0.301029996
3,June,Common selfheal,0,1,0
3,June,Common sneezeweed,0,1,0
3,June,Crown vetch,0,1,0
3,June,Cup plant,0,1,0
3,June,Dandelion,0,1,0
3,June,Deptford pink,0,1,0
3,June,Eastern daisy fleabane,6,7,0.84509804
3,June,Foxglove beardtounge,0,1,0
3,June,Frost aster,0,1,0
3,June,Golden alexander,0,1,0
3,June,Goldenrod,0,1,0
3,June,Greyheaded coneflower,0,1,0
3,June,Hairy ruellia,0,1,0
3,June,Hoary vervain,0,1,0
3,June,Ironweed,0,1,0
3,June,Jersulem artichoke,0,1,0
3,June,Morning glory,0,1,0
3,June,Mountain mint,0,0,0
3,June,New england aster,0,1,0
3,June,Oxeye sunflower,65,66,1.819543936
3,June,Pale purple coneflower,0,1,0
3,June,Partridge pea,0,1,0
3,June,Purple prairie clover,0,1,0
3,June,Queen anne's lace,0,0,0
3,June,Rattlesnake master,0,1,0
3,June,Red clover,276,277,2.442479769
3,June,Sawtooth sunflower,0,1,0
3,June,Showy ticktrefoil,0,1,0
3,June,St. john's wort,0,0,0
3,June,Swamp milkweed,0,0,0
3,June,Swamp smartweed,0,1,0
3,June,Tall boneset,0,1,0
3,June,White clover,0,1,0
3,June,White heath aster,0,1,0
3,June,White sweet clover,0,1,0
3,June,White vervain,1,2,0.301029996
3,June,Wild bergamot,0,1,0
3,June,Wild parsnip,0,1,0
3,June,Yarrow,9,10,1
3,June,Yellow sweet clover,0,0,0
4,June,Alfalfa,0,1,0
4,June,Black eyed susan,0,1,0
4,June,Brown eyed susan,0,1,0
4,June,Bull thistle,1,2,0.301029996
4,June,Butterfly milkweed,0,1,0
4,June,Canada lettuce,0,0,0
4,June,Canada thistle,0,1,0
4,June,Carolina horse nettle,0,1,0
4,June,Common evening primrose,0,0,0
4,June,Common milkweed,0,1,0
4,June,Common selfheal,0,1,0
4,June,Common sneezeweed,0,1,0
4,June,Crown vetch,47,48,1.681241237
4,June,Cup plant,0,1,0
4,June,Dandelion,0,1,0
4,June,Deptford pink,0,1,0
4,June,Eastern daisy fleabane,0,1,0
4,June,Foxglove beardtounge,66,67,1.826074803
4,June,Frost aster,0,1,0
4,June,Golden alexander,47,48,1.681241237
4,June,Goldenrod,0,1,0
4,June,Greyheaded coneflower,0,1,0
4,June,Hairy ruellia,0,1,0
4,June,Hoary vervain,0,1,0
4,June,Ironweed,0,1,0
4,June,Jersulem artichoke,0,1,0
4,June,Morning glory,0,1,0
4,June,Mountain mint,0,0,0
4,June,New england aster,0,1,0
4,June,Oxeye sunflower,0,1,0
4,June,Pale purple coneflower,0,1,0
4,June,Partridge pea,0,1,0
4,June,Purple prairie clover,0,1,0
4,June,Queen anne's lace,0,0,0
4,June,Rattlesnake master,0,1,0
4,June,Red clover,0,1,0
4,June,Sawtooth sunflower,0,1,0
4,June,Showy ticktrefoil,0,1,0
4,June,St. john's wort,0,0,0
4,June,Swamp milkweed,0,0,0
4,June,Swamp smartweed,0,1,0
4,June,Tall boneset,0,1,0
4,June,White clover,75,76,1.880813592
4,June,White heath aster,0,1,0
4,June,White sweet clover,0,1,0
4,June,White vervain,0,1,0
4,June,Wild bergamot,0,1,0
4,June,Wild parsnip,15,16,1.204119983
4,June,Yarrow,0,1,0
4,June,Yellow sweet clover,0,0,0
1,JulyAugust,Alfalfa,0,1,0
1,JulyAugust,Black eyed susan,0,1,0
1,JulyAugust,Brown eyed susan,0,1,0
1,JulyAugust,Bull thistle,0,1,0
1,JulyAugust,Butterfly milkweed,0,1,0
1,JulyAugust,Canada lettuce,0,1,0
1,JulyAugust,Canada thistle,0,1,0
1,JulyAugust,Carolina horse nettle,0,1,0
1,JulyAugust,Chicory,0,1,0
1,JulyAugust,Common evening primrose,0,1,0
1,JulyAugust,Common milkweed,1,2,0.301029996
1,JulyAugust,Common selfheal,0,1,0
1,JulyAugust,Common sneezeweed,0,1,0
1,JulyAugust,Crown vetch,2.5,3.5,0.544068044
1,JulyAugust,Cup plant,0,1,0
1,JulyAugust,Dandelion,0,1,0
1,JulyAugust,Deptford pink,0,1,0
1,JulyAugust,Eastern daisy fleabane,0,1,0
1,JulyAugust,Foxglove beardtounge,0,1,0
1,JulyAugust,Frost aster,0,1,0
1,JulyAugust,Golden alexander,0,1,0
1,JulyAugust,Goldenrod,2.5,3.5,0.544068044
1,JulyAugust,Greyheaded coneflower,231.5,232.5,2.366422957
1,JulyAugust,Hairy ruellia,0,1,0
1,JulyAugust,Hoary vervain,0,1,0
1,JulyAugust,Ironweed,0,1,0
1,JulyAugust,Jersulem artichoke,0,1,0
1,JulyAugust,Morning glory,0,1,0
1,JulyAugust,Mountain mint,0,1,0
1,JulyAugust,New england aster,0,1,0
1,JulyAugust,Oxeye sunflower,0,1,0
1,JulyAugust,Pale purple coneflower,1,2,0.301029996
1,JulyAugust,Partridge pea,1230.5,1231.5,3.090434416
1,JulyAugust,Purple prairie clover,0,1,0
1,JulyAugust,Queen anne's lace,0,1,0
1,JulyAugust,Rattlesnake master,6,7,0.84509804
1,JulyAugust,Red clover,0,1,0
1,JulyAugust,Sawtooth sunflower,0,1,0
1,JulyAugust,Showy ticktrefoil,0,1,0
1,JulyAugust,St. john's wort,0,1,0
1,JulyAugust,Swamp milkweed,0,1,0
1,JulyAugust,Swamp smartweed,0,1,0
1,JulyAugust,Tall boneset,0,1,0
1,JulyAugust,White clover,2.5,3.5,0.544068044
1,JulyAugust,White heath aster,0,1,0
1,JulyAugust,White sweet clover,0,1,0
1,JulyAugust,White vervain,11.5,12.5,1.096910013
1,JulyAugust,Whorled milkweed,0,1,0
