Site,Site2,Month,Order2,PlantSpecies,BloomsInTransect,Blooms,plus1,LogBloom,Count,sum,sig
Barb,Site 1,September,46,Frost aster,0,0,1,0,0,127,a
Barb,Site 1,September,50,Tall boneset,0,0,1,0,0,75,ab
Barb,Site 1,September,1,Red clover,0,0,1,0,0,42,bc
Barb,Site 1,September,49,Sawtooth sunflower,0,0,1,0,0,40,bcd
Barb,Site 1,September,48,New england aster,12,12,13,1.113943352,0,8,cde
Barb,Site 1,September,44,White heath aster,0,0,1,0,0,7,cde
Barb,Site 1,September,47,Goldenrod,0,0,1,0,0,5,cde
Barb,Site 1,September,23,Oxeye sunflower,0,0,1,0,0,3,cde
Barb,Site 1,September,19,Bull thistle,0,0,1,0,0,1,e
Barb,Site 1,September,43,Jersulem artichoke,0,0,1,0,0,1,e
Barb,Site 1,September,14,Pale purple coneflower,0,0,1,0,0,1,e
Barb,Site 1,September,6,Alfalfa,0,0,1,0,0,0,e
Barb,Site 1,September,28,Black eyed susan,0,0,1,0,0,0,
Barb,Site 1,September,29,Brown eyed susan,0,0,1,0,0,0,
Barb,Site 1,September,15,Butterfly milkweed,0,0,1,0,0,0,
Barb,Site 1,September,42,Canada lettuce,0,0,1,0,0,0,
Barb,Site 1,September,16,Canada thistle,0,0,1,0,0,0,
Barb,Site 1,September,8,Carolina horse nettle,0,0,1,0,0,0,
Barb,Site 1,September,43,Chicory,0,0,1,0,0,0,
Barb,Site 1,September,25,Common evening primrose,0,0,1,0,0,0,
Barb,Site 1,September,17,Common milkweed,0,0,1,0,0,0,
Barb,Site 1,September,30,Common selfheal,0,0,1,0,0,0,
Barb,Site 1,September,45,Common sneezeweed,0,0,1,0,0,0,
Barb,Site 1,September,5,Crown vetch,0,0,1,0,0,0,
Barb,Site 1,September,34,Cup plant,0,0,1,0,0,0,
Barb,Site 1,September,11,Dandelion,0,0,1,0,0,0,
Barb,Site 1,September,20,Deptford pink,0,0,1,0,0,0,
Barb,Site 1,September,7,Eastern daisy fleabane,0,0,1,0,0,0,
Barb,Site 1,September,13,Foxglove beardtounge,0,0,1,0,0,0,
Barb,Site 1,September,3,Golden alexander,0,0,1,0,0,0,
Barb,Site 1,September,35,Greyheaded coneflower,0,0,1,0,0,0,
Barb,Site 1,September,12,Hairy ruellia,0,0,1,0,0,0,
Barb,Site 1,September,21,Hoary vervain,0,0,1,0,0,0,
Barb,Site 1,September,36,Ironweed,0,0,1,0,0,0,
Barb,Site 1,September,22,Morning glory,0,0,1,0,0,0,
Barb,Site 1,September,32,Mountain mint,0,0,1,0,0,0,
Barb,Site 1,September,37,Partridge pea,257,257,258,2.411619706,0,0,
Barb,Site 1,September,38,Purple prairie clover,0,0,1,0,0,0,
Barb,Site 1,September,18,Queen anne's lace,0,0,1,0,0,0,
Barb,Site 1,September,39,Rattlesnake master,0,0,1,0,0,0,
Barb,Site 1,September,31,Showy ticktrefoil,0,0,1,0,0,0,
